OrderID,UserID,OrderDate,TotalAmount
ORD829,USR00106,2021-01-01,67.0
ORD2233,USR00275,2021-01-01,698.72
ORD3173,USR00393,2021-01-01,220.49
ORD4827,USR00605,2021-01-01,753.73
ORD4926,USR00619,2021-01-01,10.5
ORD5967,USR00746,2021-01-01,91.75
ORD6731,USR00834,2021-01-01,552.46
ORD8074,USR01004,2021-01-01,425.46000000000004
ORD10066,USR01254,2021-01-01,320.0
ORD11830,USR01455,2021-01-01,347.5
ORD14631,USR01790,2021-01-01,210.98
ORD16337,USR02002,2021-01-01,257.5
ORD19876,USR02451,2021-01-01,104.25
ORD21744,USR02683,2021-01-01,779.9200000000001
ORD23726,USR02943,2021-01-01,33.98
ORD24732,USR03069,2021-01-01,75.47999999999999
ORD24915,USR03093,2021-01-01,68.0
ORD25452,USR03159,2021-01-01,46.0
ORD29712,USR03699,2021-01-01,702.98
ORD30493,USR03796,2021-01-01,167.5
ORD31146,USR03881,2021-01-01,220.5
ORD33153,USR04120,2021-01-01,133.98
ORD33320,USR04142,2021-01-01,746.5
ORD37787,USR04697,2021-01-01,284.49
ORD38165,USR04743,2021-01-01,367.19
ORD38787,USR04810,2021-01-01,518.94
ORD40420,USR05013,2021-01-01,309.71
ORD42226,USR05242,2021-01-01,505.21999999999997
ORD44103,USR05461,2021-01-01,173.99
ORD46480,USR05768,2021-01-01,236.98
ORD49152,USR06102,2021-01-01,320.74
ORD51249,USR06378,2021-01-01,200.25
ORD51581,USR06424,2021-01-01,359.5
ORD54999,USR06854,2021-01-01,495.99
ORD55748,USR06944,2021-01-01,461.25
ORD55786,USR06949,2021-01-01,728.6700000000001
ORD56718,USR07059,2021-01-01,845.93
ORD57401,USR07146,2021-01-01,369.43
ORD58148,USR07233,2021-01-01,166.49
ORD61121,USR07609,2021-01-01,392.0
ORD61200,USR07618,2021-01-01,96.0
ORD62418,USR07780,2021-01-01,349.95
ORD63227,USR07887,2021-01-01,41.25
ORD63516,USR07923,2021-01-01,220.97
ORD68994,USR08599,2021-01-01,502.0
ORD71016,USR08840,2021-01-01,131.98
ORD71804,USR08938,2021-01-01,23.0
ORD72416,USR09021,2021-01-01,372.45
ORD73077,USR09101,2021-01-01,798.46
ORD75706,USR09416,2021-01-01,173.98000000000002
ORD76218,USR09479,2021-01-01,223.45999999999998
ORD76716,USR09541,2021-01-01,575.7
ORD78216,USR09729,2021-01-01,656.1700000000001
ORD79357,USR09872,2021-01-01,111.98
ORD81418,USR10128,2021-01-01,469.0
ORD81496,USR10140,2021-01-01,133.5
ORD86672,USR10806,2021-01-01,134.25
ORD87709,USR10939,2021-01-01,337.96
ORD88278,USR11011,2021-01-01,759.69
ORD90495,USR11295,2021-01-01,699.49
ORD91831,USR11475,2021-01-01,117.75
ORD96888,USR12097,2021-01-01,382.96
ORD98521,USR12302,2021-01-01,371.46
ORD98584,USR12311,2021-01-01,684.5
ORD99228,USR12393,2021-01-01,394.67999999999995
ORD111179,USR13870,2021-01-01,578.71
ORD117491,USR14661,2021-01-01,674.4
ORD339,USR00047,2021-01-02,46.5
ORD616,USR00081,2021-01-02,437.73
ORD2605,USR00318,2021-01-02,244.0
ORD5824,USR00729,2021-01-02,258.0
ORD6472,USR00802,2021-01-02,372.25
ORD6891,USR00853,2021-01-02,50.0
ORD7018,USR00868,2021-01-02,191.45999999999998
ORD8798,USR01092,2021-01-02,24.0
ORD8992,USR01119,2021-01-02,16.99
ORD10537,USR01307,2021-01-02,356.0
ORD16655,USR02036,2021-01-02,653.98
ORD16914,USR02066,2021-01-02,328.24
ORD17581,USR02165,2021-01-02,152.25
ORD19034,USR02347,2021-01-02,459.0
ORD19261,USR02372,2021-01-02,568.99
ORD19445,USR02397,2021-01-02,137.96
ORD20842,USR02572,2021-01-02,497.25
ORD28449,USR03542,2021-01-02,538.22
ORD28762,USR03578,2021-01-02,296.75
ORD29981,USR03730,2021-01-02,93.74000000000001
ORD30544,USR03803,2021-01-02,49.0
ORD30986,USR03861,2021-01-02,117.0
ORD31155,USR03883,2021-01-02,270.48
ORD31356,USR03905,2021-01-02,444.98
ORD31479,USR03920,2021-01-02,65.5
ORD31489,USR03923,2021-01-02,307.49
ORD31653,USR03941,2021-01-02,732.0
ORD37174,USR04619,2021-01-02,792.5
ORD38500,USR04779,2021-01-02,520.24
ORD41077,USR05093,2021-01-02,717.46
ORD42166,USR05233,2021-01-02,341.75
ORD42909,USR05328,2021-01-02,114.0
ORD43192,USR05362,2021-01-02,572.97
ORD43926,USR05443,2021-01-02,208.5
ORD44113,USR05463,2021-01-02,97.0
ORD46450,USR05763,2021-01-02,303.5
ORD47785,USR05923,2021-01-02,65.97
ORD49775,USR06188,2021-01-02,566.97
ORD50314,USR06256,2021-01-02,265.96000000000004
ORD52896,USR06597,2021-01-02,396.72
ORD52973,USR06608,2021-01-02,505.22
ORD53958,USR06735,2021-01-02,67.97999999999999
ORD54517,USR06803,2021-01-02,548.75
ORD56068,USR06980,2021-01-02,82.72
ORD56890,USR07083,2021-01-02,281.23
ORD59567,USR07414,2021-01-02,393.9
ORD60069,USR07478,2021-01-02,758.18
ORD61002,USR07593,2021-01-02,344.0
ORD62067,USR07728,2021-01-02,313.48
ORD66339,USR08275,2021-01-02,258.0
ORD66567,USR08302,2021-01-02,767.9300000000001
ORD66800,USR08328,2021-01-02,135.24
ORD67405,USR08406,2021-01-02,246.47
ORD67672,USR08435,2021-01-02,141.0
ORD68657,USR08557,2021-01-02,58.75
ORD68919,USR08589,2021-01-02,364.95
ORD70708,USR08802,2021-01-02,327.73
ORD71068,USR08846,2021-01-02,89.49000000000001
ORD72633,USR09046,2021-01-02,477.75
ORD73318,USR09134,2021-01-02,344.72
ORD73752,USR09186,2021-01-02,631.1899999999999
ORD73922,USR09207,2021-01-02,208.47
ORD74645,USR09295,2021-01-02,168.0
ORD76551,USR09519,2021-01-02,710.16
ORD77352,USR09623,2021-01-02,661.46
ORD77719,USR09669,2021-01-02,491.5
ORD80038,USR09957,2021-01-02,533.0
ORD80424,USR10009,2021-01-02,479.73
ORD90191,USR11257,2021-01-02,201.0
ORD90192,USR11257,2021-01-02,596.21
ORD90460,USR11291,2021-01-02,525.0
ORD91095,USR11373,2021-01-02,156.97
ORD91857,USR11479,2021-01-02,69.75
ORD94558,USR11800,2021-01-02,738.21
ORD97170,USR12128,2021-01-02,89.99
ORD104921,USR13112,2021-01-02,336.5
ORD105371,USR13168,2021-01-02,806.97
ORD105381,USR13171,2021-01-02,691.24
ORD107765,USR13448,2021-01-02,146.75
ORD107891,USR13463,2021-01-02,154.74
ORD108065,USR13482,2021-01-02,183.0
ORD109176,USR13629,2021-01-02,96.5
ORD112439,USR14022,2021-01-02,284.98
ORD115468,USR14404,2021-01-02,510.93
ORD115505,USR14408,2021-01-02,451.94
ORD116169,USR14496,2021-01-02,241.0
ORD116655,USR14557,2021-01-02,195.24
ORD118753,USR14830,2021-01-02,248.97
ORD120044,USR15000,2021-01-02,247.96
ORD539,USR00070,2021-01-03,228.0
ORD2456,USR00300,2021-01-03,224.96999999999997
ORD2716,USR00335,2021-01-03,363.0
ORD2986,USR00369,2021-01-03,404.98
ORD3884,USR00480,2021-01-03,88.99
ORD3985,USR00494,2021-01-03,354.71000000000004
ORD7792,USR00966,2021-01-03,47.98
ORD8674,USR01075,2021-01-03,750.23
ORD9399,USR01171,2021-01-03,197.5
ORD9447,USR01175,2021-01-03,417.96000000000004
ORD10407,USR01293,2021-01-03,421.94
ORD11678,USR01438,2021-01-03,88.75
ORD12253,USR01503,2021-01-03,215.0
ORD12501,USR01530,2021-01-03,162.97
ORD12585,USR01539,2021-01-03,730.99
ORD14780,USR01808,2021-01-03,432.74
ORD15111,USR01849,2021-01-03,122.25
ORD15850,USR01935,2021-01-03,154.5
ORD18562,USR02287,2021-01-03,164.0
ORD21018,USR02595,2021-01-03,338.0
ORD21201,USR02614,2021-01-03,472.46999999999997
ORD23535,USR02922,2021-01-03,922.22
ORD24310,USR03013,2021-01-03,29.0
ORD24733,USR03069,2021-01-03,430.21999999999997
ORD25042,USR03113,2021-01-03,307.0
ORD25084,USR03117,2021-01-03,1118.75
ORD25358,USR03147,2021-01-03,169.98
ORD26240,USR03258,2021-01-03,542.25
ORD28004,USR03478,2021-01-03,625.24
ORD28494,USR03547,2021-01-03,136.75
ORD30111,USR03746,2021-01-03,470.21000000000004
ORD31937,USR03977,2021-01-03,35.97
ORD32686,USR04065,2021-01-03,372.0
ORD34912,USR04338,2021-01-03,278.0
ORD35064,USR04356,2021-01-03,391.96
ORD36077,USR04491,2021-01-03,554.5
ORD36722,USR04562,2021-01-03,332.5
ORD37490,USR04657,2021-01-03,546.0
ORD38999,USR04835,2021-01-03,371.48
ORD39625,USR04917,2021-01-03,825.5
ORD43936,USR05445,2021-01-03,523.75
ORD45091,USR05589,2021-01-03,81.0
ORD50831,USR06321,2021-01-03,187.45999999999998
ORD52346,USR06527,2021-01-03,128.97
ORD52515,USR06548,2021-01-03,234.96
ORD53525,USR06680,2021-01-03,498.73
ORD58729,USR07307,2021-01-03,210.0
ORD60223,USR07492,2021-01-03,336.5
ORD60870,USR07575,2021-01-03,329.25
ORD61240,USR07622,2021-01-03,244.0
ORD61390,USR07645,2021-01-03,383.96
ORD62147,USR07739,2021-01-03,714.94
ORD64086,USR07994,2021-01-03,144.97
ORD65091,USR08123,2021-01-03,474.98
ORD66647,USR08312,2021-01-03,886.94
ORD67804,USR08449,2021-01-03,64.0
ORD68547,USR08542,2021-01-03,371.19
ORD75320,USR09371,2021-01-03,437.71000000000004
ORD79834,USR09930,2021-01-03,400.72
ORD80019,USR09955,2021-01-03,219.5
ORD80420,USR10009,2021-01-03,428.0
ORD82295,USR10241,2021-01-03,146.0
ORD82371,USR10253,2021-01-03,158.5
ORD83389,USR10384,2021-01-03,379.0
ORD85099,USR10596,2021-01-03,170.25
ORD86956,USR10839,2021-01-03,452.99
ORD91366,USR11406,2021-01-03,335.96
ORD93615,USR11688,2021-01-03,462.96999999999997
ORD94153,USR11755,2021-01-03,305.75
ORD94706,USR11819,2021-01-03,667.25
ORD95174,USR11876,2021-01-03,79.97999999999999
ORD102729,USR12836,2021-01-03,246.0
ORD103010,USR12869,2021-01-03,73.98
ORD103149,USR12885,2021-01-03,152.0
ORD106002,USR13240,2021-01-03,511.46999999999997
ORD109609,USR13683,2021-01-03,185.25
ORD109958,USR13734,2021-01-03,316.5
ORD113085,USR14108,2021-01-03,106.0
ORD113862,USR14204,2021-01-03,141.0
ORD114392,USR14272,2021-01-03,681.92
ORD115647,USR14431,2021-01-03,561.95
ORD115988,USR14475,2021-01-03,621.9
ORD118276,USR14767,2021-01-03,269.46000000000004
ORD118360,USR14777,2021-01-03,175.5
ORD1682,USR00208,2021-01-04,449.5
ORD3053,USR00377,2021-01-04,477.22
ORD3213,USR00399,2021-01-04,435.5
ORD3261,USR00408,2021-01-04,384.5
ORD3577,USR00444,2021-01-04,460.25
ORD4075,USR00508,2021-01-04,479.46
ORD4986,USR00626,2021-01-04,980.9200000000001
ORD6413,USR00795,2021-01-04,32.0
ORD6772,USR00840,2021-01-04,661.47
ORD8127,USR01011,2021-01-04,663.46
ORD10199,USR01268,2021-01-04,179.0
ORD12773,USR01562,2021-01-04,458.0
ORD12874,USR01575,2021-01-04,463.96000000000004
ORD13969,USR01713,2021-01-04,468.91999999999996
ORD14669,USR01795,2021-01-04,297.0
ORD19160,USR02360,2021-01-04,418.0
